"Time send/recv" Initialise Finalise nfields operation io_nodes servers_per_node client_nodes xios_version
0.0107330060000094 0.840810299000168 0.7464760799998658 1 write 8 12 1 xios-2
0.0671253520004029 0.8898701029997937 1.90389032999974 4 write 8 8 1 xios-3
0.992765264999889 1.891209363000144 0.0217540519997783 1 read 8 8 16 xios-2
0.0007315510001717 1.0870563890002811 24.448942218999942 1 write 4 1 16 xios-2
0.0034819080001398 1.0995643780001956 1.0581746380003096 1 write 4 8 16 xios-3
21.834611907000124 1.2926157250000188 0.0374236910000149 32 read 8 1 8 xios-2
9.99914359399986 1.122004564000008 1.0664193110000042 16 read 4 1 8 xios-3
6.951432052999735 1.0735354220000772 0.0392268430000513 1 read 8 1 8 xios-2
0.0010076810000043 1.2945036369999912 1.0526041789999852 1 write 8 8 8 xios-2
0.1380563930000562 0.9398172850000036 2.907185435999964 8 write 4 12 1 xios-3
8.187525207000135 0.940241119999996 0.0101104370000939 4 read 1 8 1 xios-2
0.0093191760004174 1.214111989999992 3.094838070999913 8 write 8 1 16 xios-3
0.006203382999999 1.3527401430000054 1.0471203249999943 1 write 8 12 8 xios-3
0.0168614680001155 0.8823256069999843 1.0511927349998589 1 write 8 1 1 xios-3
124.5711851889987 1.848078464000082 0.1281802220000827 32 read 1 1 8 xios-2
29.621510255999965 1.1272871609999129 0.0639781670001866 1 read 4 1 8 xios-2
0.0606557059998067 0.922091478000084 6.763818972000081 4 write 1 8 1 xios-3
0.0063657910002348 1.7876554810000016 3.353191573000004 16 write 8 12 16 xios-2
0.0033129789999293 1.0414167209996776 2.075182717000189 1 write 1 12 8 xios-3
0.0382001189987022 0.7443963149999036 15.738926806000109 32 write 4 12 8 xios-2
0.0030007269999714 1.0076547070000288 5.063347259000011 4 write 1 12 16 xios-3
16.76150959699993 0.9783940469999948 0.025123614999984 16 read 1 8 1 xios-2
55.46403158500004 27.545371654000007 0.0362979660000064 16 read 1 1 1 xios-2
0.0143075270000281 1.3965919419999864 16.090083934000063 8 write 1 1 8 xios-3
21.04037539199953 0.9946708269999364 0.0138030789998992 32 read 1 12 1 xios-2
0.2105518100000836 0.8831074830000034 30.763278569000025 8 write 4 1 1 xios-2
0.0115025420000165 0.8505526379999537 2.048951273000057 1 write 1 8 1 xios-3
0.0031674530002874 1.0470583809999423 2.0719917399999304 4 write 4 12 16 xios-3
2.919240542999944 1.374446302000024 1.185760388999995 4 read 1 12 16 xios-3
0.1196372710005562 0.7832236170002034 1.3009461349997764 4 write 8 8 1 xios-2
1.647879828999976 0.9967918830000144 0.0239557589998185 4 read 8 8 8 xios-2
0.4687260930002139 0.8328785010000956 2.8397313839998333 16 write 8 12 1 xios-2
0.0069386810000651 1.0989449960000002 5.056483758000013 1 write 1 1 16 xios-3
0.0009223160000146 1.0850821239996549 1.0851855490000162 1 write 8 1 16 xios-3
0.0273001700001032 0.8634199000000535 7.804668568000011 16 write 4 8 8 xios-2
6.373781171999781 1.9619130199999968 0.0430177199999661 16 read 4 8 16 xios-2
2.2580996089999417 1.00365844800001 0.7971680949999609 4 read 1 12 8 xios-3
82.51877412599987 1.575333285999989 0.129748147999976 16 read 1 1 8 xios-2
10.07252777000008 1.1450715299999956 0.9935000369999898 16 read 4 1 1 xios-3
0.5994770120000794 1.1230473769996934 0.464033596000263 1 read 8 1 8 xios-3
32.23412491299999 1.4284290690000034 0.7460541049999847 16 read 1 1 16 xios-3
29.43081020799991 1.9428860070001972 0.0668881849996978 32 read 1 8 16 xios-2
